OrganisationLabel,OrganisationURI,PublishedDate,LatestData,DurationFrom,DurationTo,ReportingPeriodType,Month,GeoEntityName,GeoCode,GeoName,GeoURI,AveragePrice,AveragePriceDetached,AveragePriceSemiDetached,AveragePriceTerraced,AveragePriceFlatOrMaisonette
Lincolnshire,http://opendatacommunities.org/id/county-council/lincolnshire,2025-05-22T00:00:00,TRUE,2024-05-01T00:00:00,2024-05-31T23:59:59,Month,2024-05,District Council,E07000137,East Lindsey,http://statistics.data.gov.uk/doc/statistical-geography/E07000137,215070,277820,186473,147339,99923
Lincolnshire,http://opendatacommunities.org/id/county-council/lincolnshire,2025-05-22T00:00:00,TRUE,2024-05-01T00:00:00,2024-05-31T23:59:59,Month,2024-05,District Council,E07000138,Lincoln,http://statistics.data.gov.uk/doc/statistical-geography/E07000138,179373,297221,198122,153208,108872
Lincolnshire,http://opendatacommunities.org/id/county-council/lincolnshire,2025-05-22T00:00:00,TRUE,2024-05-01T00:00:00,2024-05-31T23:59:59,Month,2024-05,District Council,E07000139,North Kesteven,http://statistics.data.gov.uk/doc/statistical-geography/E07000139,232183,294650,196157,162382,119640
Lincolnshire,http://opendatacommunities.org/id/county-council/lincolnshire,2025-05-22T00:00:00,TRUE,2024-05-01T00:00:00,2024-05-31T23:59:59,Month,2024-05,District Council,E07000140,South Holland,http://statistics.data.gov.uk/doc/statistical-geography/E07000140,215157,267650,180743,146269,95481
Lincolnshire,http://opendatacommunities.org/id/county-council/lincolnshire,2025-05-22T00:00:00,TRUE,2024-05-01T00:00:00,2024-05-31T23:59:59,Month,2024-05,District Council,E07000141,South Kesteven,http://statistics.data.gov.uk/doc/statistical-geography/E07000141,251704,362041,231903,186319,115142
Lincolnshire,http://opendatacommunities.org/id/county-council/lincolnshire,2025-05-22T00:00:00,TRUE,2024-05-01T00:00:00,2024-05-31T23:59:59,Month,2024-05,District Council,E07000142,West Lindsey,http://statistics.data.gov.uk/doc/statistical-geography/E07000142,200812,276855,175926,138054,91523
Lincolnshire,http://opendatacommunities.org/id/county-council/lincolnshire,2025-05-22T00:00:00,TRUE,2024-04-01T00:00:00,2024-04-30T23:59:59,Month,2024-04,County,E10000019,Lincolnshire,http://statistics.data.gov.uk/doc/statistical-geography/E10000019,211752,287538,190869,152240,103127
Lincolnshire,http://opendatacommunities.org/id/county-council/lincolnshire,2025-05-22T00:00:00,TRUE,2024-04-01T00:00:00,2024-04-30T23:59:59,Month,2024-04,District Council,E07000136,Boston,http://statistics.data.gov.uk/doc/statistical-geography/E07000136,180926,247969,162395,124649,77783
Lincolnshire,http://opendatacommunities.org/id/county-council/lincolnshire,2025-05-22T00:00:00,TRUE,2024-04-01T00:00:00,2024-04-30T23:59:59,Month,2024-04,District Council,E07000137,East Lindsey,http://statistics.data.gov.uk/doc/statistical-geography/E07000137,212261,274274,183977,145325,98649
Lincolnshire,http://opendatacommunities.org/id/county-council/lincolnshire,2025-05-22T00:00:00,TRUE,2024-04-01T00:00:00,2024-04-30T23:59:59,Month,2024-04,District Council,E07000138,Lincoln,http://statistics.data.gov.uk/doc/statistical-geography/E07000138,175425,291057,193896,149671,106447
